"res_width [mm]","res_hight [mm]","Matrix1.C(Voltage3 Voltage4) [fF]"
0.5,1.75,-141.115655984687
0.5,2,-149.946332781314
0.5,2.25,-158.522497579851
0.5,2.5,-166.675536640846
0.5,2.75,-174.107932820258
0.5,3,-182.859242785341
0.5,3.25,-190.705336924716
0.5,3.5,-197.931708311468
0.5,3.75,-205.525167557015
0.5,4,-215.322285087596
0.5,4.25,-222.570734550576
0.5,4.5,-229.663079174383
0.5,4.75,-237.738828840848
0.5,5,-247.169550057336
0.5,5.25,-255.500815030869
0.6,1.75,-145.871805932554
0.6,2,-154.602286779345
0.6,2.25,-162.442596483862
0.6,2.5,-171.958656479161
0.6,2.75,-178.743313294686
0.6,3,-186.73723465438
0.6,3.25,-193.16596527916
0.6,3.5,-202.003415290373
0.6,3.75,-211.819278768553
0.6,4,-217.521168588985
0.6,4.25,-226.79090764821
0.6,4.5,-233.458341930101
0.6,4.75,-240.794111454367
0.6,5,-252.785072007393
0.6,5.25,-260.4199667142
0.7,1.75,-149.11169096067
0.7,2,-157.053042945864
0.7,2.25,-166.273009624148
0.7,2.5,-174.26518629318
0.7,2.75,-181.97099090801
0.7,3,-189.473218376616
0.7,3.25,-198.153162788538
0.7,3.5,-206.306427514389
0.7,3.75,-213.354201560218
0.7,4,-222.2307539049
0.7,4.25,-231.557364372785
0.7,4.5,-238.144736807692
0.7,4.75,-246.339321893652
0.7,5,-257.155799666117
0.7,5.25,-264.25874034928
0.8,1.75,-152.27488679581
0.8,2,-159.911361145188
0.8,2.25,-168.887696488378
0.8,2.5,-177.300171998216
0.8,2.75,-185.213965597448
0.8,3,-194.978936184555
0.8,3.25,-201.093957446541
0.8,3.5,-208.789192765231
0.8,3.75,-218.348782612749
0.8,4,-225.959148641656
0.8,4.25,-234.046858743745
0.8,4.5,-241.078174138599
0.8,4.75,-253.008847813403
0.8,5,-260.408318235676
0.8,5.25,-268.710127965289
0.9,1.75,-154.69332215666
0.9,2,-163.961022014417
0.9,2.25,-171.68792349322
0.9,2.5,-180.852281175378
0.9,2.75,-188.777365680937
0.9,3,-195.494800126477
0.9,3.25,-206.557540281312
0.9,3.5,-211.823761055908
0.9,3.75,-220.635197423198
0.9,4,-230.963594937518
0.9,4.25,-237.302993799028
0.9,4.5,-247.481605284885
0.9,4.75,-253.056519486823
0.9,5,-262.027489470328
0.9,5.25,-271.927444149157
1,1.75,-156.998556435552
1,2,-165.556237447246
1,2.25,-174.211801689853
1,2.5,-182.374465876345
1,2.75,-191.523381214502
1,3,-199.84599876372
1,3.25,-207.336236640487
1,3.5,-215.702125639612
1,3.75,-222.667531123522
1,4,-231.168823271279
1,4.25,-239.372645173794
1,4.5,-247.584860626408
1,4.75,-257.907721410225
1,5,-267.2033976419
1,5.25,-275.812859725179
1.1,1.75,-159.525550964814
1.1,2,-167.729683470591
1.1,2.25,-177.604555730414
1.1,2.5,-187.585128932169
1.1,2.75,-194.195753938499
1.1,3,-201.128870541233
1.1,3.25,-209.512703040539
1.1,3.5,-218.855342718771
1.1,3.75,-226.840333057828
1.1,4,-235.367142688016
1.1,4.25,-242.4331755851
1.1,4.5,-253.235261844726
1.1,4.75,-263.024630613257
1.1,5,-269.900706841313
1.1,5.25,-279.082378397331
1.2,1.75,-162.016945212966
1.2,2,-171.640648653749
1.2,2.25,-178.932288369873
1.2,2.5,-189.239782288891
1.2,2.75,-196.469383782668
1.2,3,-204.554837294665
1.2,3.25,-215.042926861969
1.2,3.5,-219.928742296787
1.2,3.75,-229.93494705894
1.2,4,-239.6444330124
1.2,4.25,-247.438815528983
1.2,4.5,-255.428631070291
1.2,4.75,-265.835004113826
1.2,5,-271.50888011267
1.2,5.25,-280.782951440822
1.3,1.75,-164.965059899969
1.3,2,-173.708268591017
1.3,2.25,-182.258315917344
1.3,2.5,-189.061297539509
1.3,2.75,-198.384456033555
1.3,3,-207.129614605237
1.3,3.25,-215.393753980875
1.3,3.5,-222.49909860909
1.3,3.75,-232.166171019254
1.3,4,-240.53719673576
1.3,4.25,-247.418502132585
1.3,4.5,-257.728501896192
1.3,4.75,-267.472553197415
1.3,5,-275.744638879048
1.3,5.25,-286.049508509764
1.4,1.75,-166.200323157534
1.4,2,-176.713748353941
1.4,2.25,-183.251419826595
1.4,2.5,-192.598157255067
1.4,2.75,-201.600567774754
1.4,3,-207.409783956027
1.4,3.25,-216.468460104187
1.4,3.5,-226.087792414538
1.4,3.75,-234.442598033028
1.4,4,-243.690873536347
1.4,4.25,-251.238345233555
1.4,4.5,-262.176807692117
1.4,4.75,-267.236279620277
1.4,5,-276.675965948848
1.4,5.25,-288.117513439635
1.5,1.75,-168.458743301125
1.5,2,-177.62764201066
1.5,2.25,-186.728105025217
1.5,2.5,-193.904044892153
1.5,2.75,-202.093710242111
1.5,3,-211.332873482288
1.5,3.25,-219.912867753394
1.5,3.5,-228.715228735499
1.5,3.75,-235.227463021723
1.5,4,-245.902697198268
1.5,4.25,-252.37387644043
1.5,4.5,-261.297148009765
1.5,4.75,-270.475877268003
1.5,5,-279.266262920139
1.5,5.25,-289.371915311954
