"res_width [mm]","xoff [mm]","Matrix1.C(Voltage4 Voltage3) [fF]"
0.5,1,-199.141108692439
0.5,1.1,-197.791520989899
0.5,1.2,-197.637837733727
0.5,1.3,-197.437300110212
0.5,1.4,-197.847925449443
0.5,1.5,-197.270062838972
0.5,1.6,-199.269340207774
0.5,1.7,-197.537514760266
0.5,1.8,-197.060944203493
0.5,1.9,-198.261768956369
0.5,2,-197.931708311468
0.5,2.1,-197.349558548649
0.5,2.2,-197.330769201632
0.5,2.3,-197.977655559085
0.5,2.4,-198.258829333084
0.5,2.5,-198.883672401648
0.5,2.6,-197.035649391467
0.5,2.7,-197.088521088853
0.5,2.8,-197.978521857849
0.5,2.9,-198.994996008208
0.5,3,-199.230076426424
0.5,3.1,-198.187676333381
0.5,3.2,-197.972040666563
0.5,3.3,-198.242809005386
0.5,3.4,-199.666963662634
0.5,3.5,-197.655846156359
0.5,3.6,-199.929620577973
0.5,3.7,-197.158642807905
0.5,3.8,-197.924833478446
0.5,3.9,-198.96296338942
0.5,4,-199.027816034862
0.5,4.1,-198.815673852533
0.5,4.2,-198.92677036987
0.5,4.3,-197.943877459465
0.5,4.4,-198.72034537842
0.5,4.5,-198.865082098773
0.5,4.6,-199.042265433921
0.5,4.7,-199.090554449625
0.5,4.8,-198.1687073075
0.5,4.9,-199.237900734595
0.5,5,-197.862109415069
0.6,1,-203.168793932331
0.6,1.1,-202.319537281236
0.6,1.2,-202.084684326373
0.6,1.3,-204.817907132177
0.6,1.4,-201.608328089166
0.6,1.5,-202.786130541498
0.6,1.6,-202.759939563114
0.6,1.7,-204.818773624395
0.6,1.8,-202.425731487992
0.6,1.9,-202.817918204636
0.6,2,-202.003415290373
0.6,2.1,-202.093161040312
0.6,2.2,-202.240059809595
0.6,2.3,-202.490832463919
0.6,2.4,-203.631853285782
0.6,2.5,-203.028247469143
0.6,2.6,-202.189063404086
0.6,2.7,-203.332884371324
0.6,2.8,-203.689613309829
0.6,2.9,-204.153314438634
0.6,3,-203.422833904881
0.6,3.1,-203.218110166599
0.6,3.2,-203.437173918423
0.6,3.3,-202.791903540687
0.6,3.4,-202.321847098125
0.6,3.5,-204.35843472035
0.6,3.6,-202.435492663491
0.6,3.7,-202.111063314627
0.6,3.8,-203.26454917477
0.6,3.9,-202.262870136214
0.6,4,-203.685654343716
0.6,4.1,-203.454752440446
0.6,4.2,-203.160867719966
0.6,4.3,-204.272596231606
0.6,4.4,-204.663762938466
0.6,4.5,-203.587460925927
0.6,4.6,-202.461957487437
0.6,4.7,-202.820361563527
0.6,4.8,-204.776424495403
0.6,4.9,-202.942439440254
0.6,5,-203.708365276073
0.7,1,-206.650424461858
0.7,1.1,-207.844850817881
0.7,1.2,-207.261904762618
0.7,1.3,-205.544315009881
0.7,1.4,-206.91646578725
0.7,1.5,-208.110479772282
0.7,1.6,-206.611676482525
0.7,1.7,-206.650448434056
0.7,1.8,-206.775167553953
0.7,1.9,-205.146133994257
0.7,2,-206.306427514389
0.7,2.1,-206.164669354303
0.7,2.2,-205.202688632781
0.7,2.3,-206.599374942274
0.7,2.4,-205.228698372407
0.7,2.5,-206.931755395211
0.7,2.6,-205.598445328568
0.7,2.7,-207.206899913406
0.7,2.8,-206.717480299314
0.7,2.9,-206.301295730928
0.7,3,-206.003348916921
0.7,3.1,-205.9153193837
0.7,3.2,-207.120182243236
0.7,3.3,-205.383663102014
0.7,3.4,-207.370724397501
0.7,3.5,-206.647350966322
0.7,3.6,-205.216426262176
0.7,3.7,-207.107786867275
0.7,3.9,-205.987717383898
0.7,4,-206.472692104567
0.7,4.1,-206.711469249774
0.7,4.2,-206.360222344825
0.7,4.3,-206.28914458515
0.7,4.4,-206.535544284642
0.7,4.5,-207.943025151703
0.7,4.6,-206.213873536334
0.7,4.7,-207.548547729181
0.7,4.8,-206.116097061292
0.7,4.9,-208.689176216579
0.7,5,-208.017443218808
0.8,1,-210.633599829719
0.8,1.1,-210.859445562579
0.8,1.2,-209.371428556167
0.8,1.3,-210.54470593033
0.8,1.4,-208.656601102454
0.8,1.5,-209.898406839908
0.8,1.6,-210.348886211414
0.8,1.7,-209.465308258032
0.8,1.8,-210.292360476381
0.8,1.9,-209.876122541148
0.8,2,-208.789192765231
0.8,2.1,-208.82086630127
0.8,2.2,-209.632537647082
0.8,2.3,-210.714154587315
0.8,2.4,-211.389983869848
0.8,2.5,-210.187875520006
0.8,2.6,-208.596465436459
0.8,2.7,-210.257282860178
0.8,2.8,-210.093129935459
0.8,2.9,-210.995306711846
0.8,3,-210.746663287354
0.8,3.1,-208.850239469785
0.8,3.2,-212.12337198137
0.8,3.3,-210.022675763534
0.8,3.4,-209.268319777
0.8,3.5,-209.367341364228
0.8,3.6,-210.614215389772
0.8,3.7,-210.357115500628
0.8,3.8,-210.660519447688
0.8,3.9,-209.983314473109
0.8,4,-210.722476022825
0.8,4.1,-210.970499259319
0.8,4.2,-209.706797541603
0.8,4.3,-209.459151750101
0.8,4.4,-210.711642493572
0.8,4.5,-209.466070702658
0.8,4.6,-211.708186526922
0.8,4.7,-211.164561897307
0.8,4.8,-210.895195129926
0.8,4.9,-211.678318279363
0.8,5,-209.862184373091
0.9,1,-212.912253242208
0.9,1.1,-211.950262568412
0.9,1.2,-213.321936308722
0.9,1.3,-212.392149273487
0.9,1.4,-212.557548895282
0.9,1.5,-212.156470094017
0.9,1.6,-212.445593702864
0.9,1.7,-212.365233377826
0.9,1.8,-212.498388088208
0.9,1.9,-212.577607820695
0.9,2,-211.823761055908
0.9,2.1,-213.144172914461
0.9,2.2,-211.534252131917
0.9,2.3,-213.806212691917
0.9,2.4,-213.290520063562
0.9,2.5,-212.290528589945
0.9,2.6,-212.52060347097
0.9,2.7,-212.70654331594
0.9,2.8,-212.680085658118
0.9,2.9,-211.791964464244
0.9,3,-212.196298512739
0.9,3.1,-213.81283785004
0.9,3.2,-213.581939379732
0.9,3.3,-212.873783113669
0.9,3.4,-213.216780283506
0.9,3.5,-213.261451920463
0.9,3.6,-212.770911966848
0.9,3.7,-212.882383647377
0.9,3.8,-214.360223921086
0.9,3.9,-213.334506897977
0.9,4,-213.480183559491
0.9,4.1,-212.331726143548
0.9,4.2,-212.75323087683
0.9,4.3,-211.815188292168
0.9,4.4,-214.718489659765
0.9,4.5,-213.28262767793
0.9,4.6,-213.189043198306
0.9,4.7,-213.49724218311
0.9,4.8,-212.138352233179
0.9,4.9,-215.607553395846
0.9,5,-214.358169529193
1,1,-214.891947468023
1,1.1,-215.714206839495
1,1.2,-215.356723024118
1,1.3,-215.617610749673
1,1.4,-215.751085552264
1,1.5,-215.808818056187
1,1.6,-215.343312816583
1,1.7,-216.265545907672
1,1.8,-215.6869440061
1,1.9,-215.941370233689
1,2,-215.702125639612
1,2.1,-214.488082785793
1,2.2,-215.930903655708
1,2.3,-218.338591773724
1,2.4,-216.075023812405
1,2.5,-217.04551361529
1,2.6,-215.971974739897
1,2.7,-217.156254191361
1,2.8,-214.485100586918
1,2.9,-215.621561835579
1,3,-215.851909889588
1,3.1,-214.432976415572
1,3.2,-214.919748857988
1,3.3,-216.353697094476
1,3.4,-215.992676940252
1,3.5,-216.34579431222
1,3.6,-215.238541680076
1,3.7,-215.05416150937
1,3.8,-217.542418762185
1,3.9,-216.102413731904
1,4,-215.736591656406
1,4.1,-218.398303896168
1,4.2,-218.016437921095
1,4.3,-216.335523778397
1,4.4,-218.179904774693
1,4.5,-216.034113941911
1,4.6,-215.014199667385
1,4.7,-218.261097811187
1,4.8,-216.178586798001
1,4.9,-217.770845000535
1,5,-217.576987334975
1.1,1,-217.361362221015
1.1,1.1,-218.383629113184
1.1,1.2,-217.159193764194
1.1,1.3,-219.212582783647
1.1,1.4,-219.726560468101
1.1,1.5,-218.36515160487
1.1,1.6,-217.783770767019
1.1,1.7,-218.112232632305
1.1,1.8,-218.841494150279
1.1,1.9,-217.246631642974
1.1,2,-218.855342718771
1.1,2.1,-218.763631689907
1.1,2.2,-217.211723976936
1.1,2.3,-217.906446292877
1.1,2.4,-219.162719775075
1.1,2.5,-217.950793225239
1.1,2.6,-219.026998603777
1.1,2.7,-217.922083344901
1.1,2.8,-218.542343149328
1.1,2.9,-218.567328678472
1.1,3,-220.586233571431
1.1,3.1,-218.648109400999
1.1,3.2,-219.812351244209
1.1,3.3,-217.990666190967
1.1,3.4,-218.917423466773
1.1,3.5,-219.286264363894
1.1,3.6,-220.047969533848
1.1,3.7,-218.184092262724
1.1,3.8,-217.424659260399
1.1,3.9,-218.393991745109
1.1,4,-218.532032859056
1.1,4.1,-218.795274923379
1.1,4.2,-219.075496609846
1.1,4.3,-218.915590094195
1.1,4.4,-220.714083740093
1.1,4.5,-218.867805308822
1.1,4.6,-220.966732996754
1.1,4.7,-220.419402110197
1.1,4.8,-220.701321619889
1.1,4.9,-220.821180371123
1.1,5,-219.13706834449
1.2,1,-221.030406930938
1.2,1.1,-222.484306804494
1.2,1.2,-221.592390303465
1.2,1.3,-221.764894661168
1.2,1.4,-220.906151125485
1.2,1.5,-221.283297929769
1.2,1.6,-221.141702539707
1.2,1.7,-222.720086744215
1.2,1.8,-221.006390741365
1.2,1.9,-221.835742123925
1.2,2,-219.928742296787
1.2,2.1,-221.568581126435
1.2,2.2,-221.304390857013
1.2,2.3,-221.114807873184
1.2,2.4,-220.075105174574
1.2,2.5,-220.968531198742
1.2,2.6,-220.974652998465
1.2,2.7,-221.249970527892
1.2,2.8,-221.11008567744
1.2,2.9,-221.757801986105
1.2,3,-221.571212180252
1.2,3.1,-221.182805090977
1.2,3.2,-222.193196669285
1.2,3.3,-221.273364193726
1.2,3.4,-221.271792281751
1.2,3.5,-220.726950995858
1.2,3.6,-223.218534471158
1.2,3.7,-222.782974294788
1.2,3.8,-223.066892681624
1.2,3.9,-219.963370098657
1.2,4,-221.123886790386
1.2,4.1,-222.926733885133
1.2,4.2,-221.543906770765
1.2,4.3,-220.183684041629
1.2,4.4,-220.254950012424
1.2,4.5,-221.428546727028
1.2,4.6,-224.001610533118
1.2,4.7,-221.005130013991
1.2,4.8,-221.772867722993
1.2,4.9,-221.625710288768
1.2,5,-222.703163548602
1.3,1,-223.139283879846
1.3,1.1,-222.763065805944
1.3,1.2,-223.266315816923
1.3,1.3,-224.097456716186
1.3,1.4,-223.556235950073
1.3,1.5,-222.144352315152
1.3,1.6,-224.838586655413
1.3,1.7,-225.702775559937
1.3,1.8,-221.920133770402
1.3,1.9,-223.62307797393
1.3,2,-222.49909860909
1.3,2.1,-223.909155570136
1.3,2.2,-224.022819416453
1.3,2.3,-223.739814625282
1.3,2.4,-223.676688841483
1.3,2.5,-222.449613093595
1.3,2.6,-222.336102167578
1.3,2.7,-222.94848172267
1.3,2.8,-224.432966112777
1.3,2.9,-224.166812205735
1.3,3,-223.201481931666
1.3,3.1,-223.122045976787
1.3,3.2,-222.426006550703
1.3,3.3,-223.623412012291
1.3,3.4,-226.134063992208
1.3,3.5,-223.119031323014
1.3,3.6,-223.553894527363
1.3,3.7,-222.984129029745
1.3,3.8,-222.994720213245
1.3,3.9,-223.91590478272
1.3,4,-226.890650450185
1.3,4.1,-222.518308590035
1.3,4.2,-223.848927239259
1.3,4.3,-224.684153277849
1.3,4.4,-224.279602901188
1.3,4.5,-225.955392949741
1.3,4.6,-224.58502812182
1.3,4.7,-224.261580428155
1.3,4.8,-224.016769892814
1.3,4.9,-223.945103111414
1.3,5,-224.071076205108
1.4,1,-225.096606144473
1.4,1.1,-225.477142756436
1.4,1.2,-226.921634807465
1.4,1.3,-224.958693371789
1.4,1.4,-225.42454199904
1.4,1.5,-225.513124699209
1.4,1.6,-225.038731026172
1.4,1.7,-225.007798064517
1.4,1.8,-226.667110412734
1.4,1.9,-224.690562110373
1.4,2,-226.087792414538
1.4,2.1,-225.094122485348
1.4,2.2,-224.784442441722
1.4,2.3,-224.758746716537
1.4,2.4,-226.167379381327
1.4,2.5,-224.698980275205
1.4,2.6,-225.940255673228
1.4,2.7,-225.784973789494
1.4,2.8,-225.161499795039
1.4,2.9,-227.639844267801
1.4,3,-225.405947265398
1.4,3.1,-225.325253995245
1.4,3.2,-225.295277378906
1.4,3.3,-225.69978351033
1.4,3.4,-226.733471328263
1.4,3.5,-226.089291660429
1.4,3.6,-224.782812443446
1.4,3.7,-226.874587924382
1.4,3.8,-224.974144821838
1.4,3.9,-226.102407776057
1.4,4,-224.859168617324
1.4,4.1,-224.814948277086
1.4,4.2,-226.449556994731
1.4,4.3,-226.373033696854
1.4,4.4,-226.442275564161
1.4,4.5,-225.407722456468
1.4,4.6,-227.119182868667
1.4,4.7,-226.089617978783
1.4,4.8,-226.740374665981
1.4,4.9,-226.662846066057
1.4,5,-228.10315549884
1.5,1,-227.028369854943
1.5,1.1,-227.983544436926
1.5,1.2,-227.754097047447
1.5,1.3,-226.585576602481
1.5,1.4,-227.819844665042
1.5,1.5,-228.404091234675
1.5,1.6,-227.452966768863
1.5,1.7,-227.318503868752
1.5,1.8,-226.791826366916
1.5,1.9,-228.582967473619
1.5,2,-228.715228735499
1.5,2.1,-227.577699944748
1.5,2.2,-228.583841625402
1.5,2.3,-228.403682433119
1.5,2.4,-226.919021938205
1.5,2.5,-229.104609425479
1.5,2.6,-227.203885022903
1.5,2.7,-227.706711498789
1.5,2.8,-230.191933946374
1.5,2.9,-229.245894237036
1.5,3,-227.674184487076
1.5,3.1,-227.586041032893
1.5,3.2,-229.594477594794
1.5,3.3,-227.94576115112
1.5,3.4,-228.69858105594
1.5,3.5,-229.05504924492
1.5,3.6,-228.740462862145
1.5,3.7,-227.307042898604
1.5,3.8,-228.249102846715
1.5,3.9,-229.558520161211
1.5,4,-228.138341192162
1.5,4.1,-228.590112316917
1.5,4.2,-228.514638081664
1.5,4.3,-228.086898342431
1.5,4.4,-229.347893951672
1.5,4.5,-229.23428444148
1.5,4.6,-228.197329300205
1.5,4.7,-228.727648993498
1.5,4.8,-227.730995900751
1.5,4.9,-228.573427262901
1.5,5,-229.390851648948
