"res_width [mm]","res_hight [mm]","Matrix1.C(Voltage3 Voltage4) [fF]"
0.5,1.75,-66.6688361050568
0.5,2,-70.8948667678412
0.5,2.25,-75.0317191250763
0.5,2.5,-78.8620568156095
0.5,2.75,-82.6546200016955
0.5,3,-86.4083152185927
0.5,3.25,-90.2263778925555
0.5,3.5,-93.9706368352186
0.5,3.75,-97.6748092868287
0.5,4,-101.60499316268
0.5,4.25,-105.33831569013
0.5,4.5,-109.13588105093
0.5,4.75,-112.958041899049
0.5,5,-116.873538852046
0.5,5.25,-120.977463412064
0.6,1.75,-68.1252918463732
0.6,2,-72.2038481622259
0.6,2.25,-76.5521198951027
0.6,2.5,-80.3200797809892
0.6,2.75,-84.218845544411
0.6,3,-88.0342905676575
0.6,3.25,-91.7979680245938
0.6,3.5,-95.6029050484017
0.6,3.75,-99.427894162137
0.6,4,-103.164257486029
0.6,4.25,-107.024132465089
0.6,4.5,-110.870120963588
0.6,4.75,-114.796495991306
0.6,5,-118.912698154042
0.6,5.25,-122.78631069725
0.7,1.75,-69.401480641762
0.7,2,-73.4183822387241
0.7,2.25,-77.6218346709943
0.7,2.5,-81.5283431830353
0.7,2.75,-85.3888943310542
0.7,3,-89.2141882963733
0.7,3.25,-93.0874936663294
0.7,3.5,-96.9253035328984
0.7,3.75,-100.854553203298
0.7,4,-104.621996532036
0.7,4.25,-108.504899754645
0.7,4.5,-112.520627488814
0.7,4.75,-116.373806541581
0.7,5,-120.59388734376
0.7,5.25,-124.490708490868
0.8,1.75,-70.2210563153073
0.8,2,-74.4836676676268
0.8,2.25,-78.8605908664185
0.8,2.5,-82.596540074398
0.8,2.75,-86.5436509595766
0.8,3,-90.6082141025679
0.8,3.25,-94.3481586853786
0.8,3.5,-98.1885195998394
0.8,3.75,-102.032337823672
0.8,4,-105.950881879571
0.8,4.25,-109.855012870824
0.8,4.5,-113.651335017386
0.8,4.75,-117.73282335495
0.8,5,-121.787817056633
0.8,5.25,-125.992675758436
0.9,1.75,-71.1633603078784
0.9,2,-75.3043050923525
0.9,2.25,-79.6083551116363
0.9,2.5,-83.5808577792119
0.9,2.75,-87.6814455018789
0.9,3,-91.4673604969762
0.9,3.25,-95.3741900332856
0.9,3.5,-99.2865969020915
0.9,3.75,-103.172239064465
0.9,4,-107.091111159979
0.9,4.25,-111.034703667859
0.9,4.5,-115.021778811353
0.9,4.75,-118.956920881191
0.9,5,-123.12364902279
0.9,5.25,-127.291438749383
1,1.75,-72.0734393276736
1,2,-76.3396997474575
1,2.25,-80.6799564565569
1,2.5,-84.5747158588069
1,2.75,-88.4609273068129
1,3,-92.4313179433731
1,3.25,-96.3372785079798
1,3.5,-100.233621332009
1,3.75,-104.19565672808
1,4,-108.170505912823
1,4.25,-112.052095868386
1,4.5,-116.184919502267
1,4.75,-120.281327517574
1,5,-124.320551719612
1,5.25,-128.517284185021
1.1,1.75,-72.6839369222518
1.1,2,-76.9976520686902
1.1,2.25,-81.2942235318582
1.1,2.5,-85.4481047584583
1.1,2.75,-89.3931801586847
1.1,3,-93.477404538957
1.1,3.25,-97.3063639936705
1.1,3.5,-101.19347473401
1.1,3.75,-104.916426355631
1.1,4,-109.04981924121
1.1,4.25,-112.876399870122
1.1,4.5,-117.201223449001
1.1,4.75,-121.410797049371
1.1,5,-125.51928795736
1.1,5.25,-129.487706990766
1.2,1.75,-73.3379148099583
1.2,2,-77.6945686741051
1.2,2.25,-81.9935201033385
1.2,2.5,-86.0280571293504
1.2,2.75,-90.2486734310616
1.2,3,-94.1072560337768
1.2,3.25,-98.1278655001098
1.2,3.5,-101.897660371392
1.2,3.75,-105.951275625616
1.2,4,-109.990318523346
1.2,4.25,-113.851325922021
1.2,4.5,-118.055019607121
1.2,4.75,-122.179924676101
1.2,5,-126.450682896482
1.2,5.25,-130.555679936898
1.3,1.75,-73.8018245244974
1.3,2,-78.2214298703826
1.3,2.25,-82.4740338594446
1.3,2.5,-86.7208967750211
1.3,2.75,-90.7154701384568
1.3,3,-94.752984791714
1.3,3.25,-98.6072688894698
1.3,3.5,-102.848622419358
1.3,3.75,-106.764067001538
1.3,4,-110.721905396583
1.3,4.25,-114.620645746616
1.3,4.5,-118.664567259562
1.3,4.75,-123.079594768722
1.3,5,-127.383055548859
1.3,5.25,-131.739423942806
1.4,1.75,-74.4464236343717
1.4,2,-78.7105850828354
1.4,2.25,-83.1066962243506
1.4,2.5,-87.4210679545192
1.4,2.75,-91.2342579237099
1.4,3,-95.4084175897161
1.4,3.25,-99.2796214424195
1.4,3.5,-103.415867840419
1.4,3.75,-107.404684545012
1.4,4,-111.348473240992
1.4,4.25,-115.447165734214
1.4,4.5,-119.56925378302
1.4,4.75,-123.733143602183
1.4,5,-128.154043723505
1.4,5.25,-132.537144972847
1.5,1.75,-74.9269970127262
1.5,2,-79.1391588991118
1.5,2.25,-83.6708137189782
1.5,2.5,-87.7533933777285
1.5,2.75,-91.8578067583572
1.5,3,-95.9704530509384
1.5,3.25,-99.9519638319455
1.5,3.5,-103.876210946393
1.5,3.75,-107.798868272588
1.5,4,-111.992261512891
1.5,4.25,-116.048318181308
1.5,4.5,-120.245504503821
1.5,4.75,-124.439015997377
1.5,5,-128.786239526546
1.5,5.25,-133.14169926128
