"res_hight [mm]","res_width [mm]","Matrix1.L(Current1 Current1) [nH]"
1.75,0.5,2.07617398413653
1.75,0.6,2.28086008701147
1.75,0.7,2.46110272137228
1.75,0.8,2.62414721655013
1.75,0.9,2.77620937218066
1.75,1,2.91902667964851
1.75,1.1,3.0544803867602
1.75,1.2,3.18575183143776
1.75,1.3,3.31073628070466
1.75,1.4,3.43448732315837
1.75,1.5,3.55398989889303
2,0.5,2.36491711145353
2,0.6,2.5925825013128
2,0.7,2.78848622177296
2,0.8,2.96893114152109
2,0.9,3.13203313135305
2,1,3.28632126279939
2,1.1,3.43562474243078
2,1.2,3.57244816155609
2,1.3,3.70890680150831
2,1.4,3.8406072789582
2,1.5,3.96464949945095
2.25,0.5,2.65204280359775
2.25,0.6,2.90117445425881
2.25,0.7,3.11961502095593
2.25,0.8,3.31445020331161
2.25,0.9,3.48947658302498
2.25,1,3.65532759726762
2.25,1.1,3.81179126341998
2.25,1.2,3.96107137251891
2.25,1.3,4.10690333650587
2.25,1.4,4.24223190466094
2.25,1.5,4.3765554545575
2.5,0.5,2.94029568303442
2.5,0.6,3.21119237485786
2.5,0.7,3.4468372910891
2.5,0.8,3.65557175334117
2.5,0.9,3.84670193175461
2.5,1,4.02402272496109
2.5,1.1,4.19053951210528
2.5,1.2,4.34966276621549
2.5,1.3,4.49715067160182
2.5,1.4,4.65
2.5,1.5,4.78746737496602
2.75,0.5,3.22942405665499
2.75,0.6,3.45
2.75,0.7,3.77485300850979
2.75,0.8,4.00022297251478
2.75,0.9,4.20436551341171
2.75,1,4.39288093500345
2.75,1.1,4.5665585543636
2.75,1.2,4.73333654915674
2.75,1.3,4.89644288034026
2.75,1.4,5.04752587725094
2.75,1.5,5.19463228429916
3,0.5,3.51788488615059
3,0.6,3.83316836599288
3,0.7,4.10350994551636
3,0.8,4.34471934844218
3,0.9,4.561634907721
3,1,4.75821624361045
3,1.1,4.9488024754723
3,1.2,5.12083435731959
3,1.3,5.29207649134561
3,1.4,5.45293152636766
3,1.5,5.60450942083309
3.25,0.5,3.80745948663615
3.25,0.6,4.1439595474265
3.25,0.7,4.43550620395992
3.25,0.8,4.68728535266499
3.25,0.9,4.9142965935432
3.25,1,5.13131249425827
3.25,1.1,5.32678491705219
3.25,1.2,5.50847890717887
3.25,1.3,5.68403544940957
3.25,1.4,5.85115007359837
3.25,1.5,6.01895706131307
3.5,0.5,4.09227977783766
3.5,0.6,4.45586870313249
3.5,0.7,4.76328013145965
3.5,0.8,5.02984519899295
3.5,0.9,5.27315763412035
3.5,1,5.49365971601799
3.5,1.1,5.70054760436959
3.5,1.2,5.89428498891721
3.5,1.3,6.08482816363264
3.5,1.4,6.25383086972658
3.5,1.5,6.42171540209252
3.75,0.5,4.38099943167111
3.75,0.6,4.76639260204895
3.75,0.7,5.08770079288723
3.75,0.8,5.37142916427859
3.75,0.9,5.62863046574741
3.75,1,5.86127336662037
3.75,1.1,6.07771553939443
3.75,1.2, 6.2
3.75,1.3,6.47043788934938
3.75,1.4,6.65649621037202
3.75,1.5,6.82771192468962
4,0.5,4.6701446350986
4,0.6,5.07397901391036
4,0.7,5.41684916062
4,0.8,5.71509416815305
4,0.9,5.98433592206594
4,1,6.22707395178753
4,1.1,6.4562478175938
4,1.2,6.66889711363494
4,1.3,6.87131546635974
4,1.4,7.05449017779578
4,1.5,7.24058640989661
4.25,0.5,4.95523461162103
4.25,0.6,5.38757002019414
4.25,0.7,5.74195358234887
4.25,0.8,6.05941590984045
4.25,0.9,6.3421704192718
4.25,1,6.59836994194705
4.25,1.1,6.83523791778924
4.25,1.2,7.05871032339297
4.25,1.3,7.26088098837685
4.25,1.4,7.45994822715578
4.25,1.5,7.65070501232503
4.5,0.5,5.24418518712951
4.5,0.6,5.69601681820289
4.5,0.7,6.07018029233879
4.5,0.8,6.40313795075236
4.5,0.9,6.69412665015593
4.5,1,6.96634141544472
4.5,1.1,7.21311900696359
4.5,1.2,7.44014775071881
4.5,1.3,7.65755969040323
4.5,1.4,7.86800206091353
4.5,1.5,8.05730607848788
4.75,0.5,5.53461638082751
4.75,0.6,6.00457738178391
4.75,0.7,6.40015838305269
4.75,0.8,6.74657873633968
4.75,0.9,7.05329669526525
4.75,1,7.33054630116911
4.75,1.1,7.58682414605981
4.75,1.2,7.83032856123335
4.75,1.3,8.04636420374313
4.75,1.4,8.26231157432813
4.75,1.5,8.46556129419534
5,0.5,5.8227360492837
5,0.6,6.31526111059112
5,0.7,6.72895842532673
5,0.8,7.0861332715889
5,0.9,7.40872425825344
5,1,7.69934719352909
5,1.1,7.96820688789659
5,1.2,8.21266162417052
5,1.3,8.44074274226155
5,1.4,8.66491959381434
5,1.5,8.86811987303791
5.25,0.5,6.10679809369035
5.25,0.6,6.5
5.25,0.7,7.05934594743113
5.25,0.8,7.42832187782642
5.25,0.9,7.76787537077259
5.25,1,8.07090261123798
5.25,1.1,8.3446296397194
5.25,1.2,8.59927387772388
5.25,1.3,8.83694376284654
5.25,1.4,9.07242593141083
5.25,1.5,9.28287408454051
