"high_res [mm]","Freq [GHz]","re(S(2 1)) []","im(S(2 1)) []"
3,6,-0.0555243116735736,8.31777983584094e-14
3,6.01125,-0.0577697839982138,1.32584835655482e-05
3,6.0225,-0.0601341006984471,2.90932959760704e-05
3,6.03375,-0.0626267891619948,4.68664059706303e-05
3,6.045,-0.0652584330102587,6.59084462820518e-05
3,6.05625,-0.0680408087697699,8.5525689244317e-05
3,6.0675,-0.0709870430828295,0.000105008782624804
3,6.07875,-0.0741117942213301,0.000123643434742231
3,6.09,-0.077431462529708,0.000140723223597094
3,6.10125,-0.0809644355255101,0.000155564675698915
3,6.1125,-0.0847313748075345,0.000167524711093131
3,6.12375,-0.0887555537689277,0.000176020475000802
3,6.135,-0.0930632575333511,0.000180551465083551
3,6.14625,-0.0976842597311621,0.000180723706361692
3,6.1575,-0.102652394996279,0.000176275511024606
3,6.16875,-0.1080062517986,0.000167104073682919
3,6.18,-0.113790018010765,0.000153291778568622
3,6.19125,-0.120054522277936,0.000135130618147841
3,6.2025,-0.126858529036141,0.000113142529087052
3,6.21375,-0.134270365715118,8.8092734505718e-05
3,6.225,-0.142369989974324,6.09923477196701e-05
3,6.23625,-0.151251646881561,3.30855750368023e-05
3,6.2475,-0.16102732714271,5.8159319831041e-06
3,6.25875,-0.17183132791221,-1.92348866723302e-05
3,6.27,-0.183826353605069,-4.04421896959254e-05
3,6.28125,-0.197211802281901,-5.62736811234607e-05
3,6.2925,-0.212235208911363,-6.54690081708632e-05
3,6.30375,-0.229208339037653,-6.72623630568324e-05
3,6.315,-0.248530286954794,-6.16373915649627e-05
3,6.32625,-0.270721395789394,-4.95869680963246e-05
3,6.3375,-0.296474395985741,-3.3323552591981e-05
3,6.34875,-0.326733896034,-1.63456930673334e-05
3,6.36,-0.362824487098163,-3.21163084014307e-06
3,6.37125,-0.406666320350685,1.19159525049143e-06
3,6.3825,-0.461157491723748,-6.86244835951224e-06
3,6.39375,-0.530897946303117,-2.74977453723329e-05
3,6.405,-0.623677488846208,-5.40195301707815e-05
3,6.41625,-0.753880367112185,-7.0279394335231e-05
3,6.4275,-0.951498447411019,-5.30859712775888e-05
3,6.43875,-1.29167086294501,8.09422034044787e-06
3,6.45,-2.0328191111612,3.82191504785154e-05
3,6.46125,-5.06762218421645,-0.000517062878174703
3,6.4725,8.2198199259949,0.00118674979434953
3,6.48375,2.04224795763589,-0.0014577591505798
3,6.495,1.0282501432135,-0.00231611131925574
3,6.50625,0.555433029382484,0.00431870110570424
3,6.5175,0.000110544412065064,0.0732833758930398
3,6.52875,0.018354313456524,0.4299617964217
3,6.54,0.0515176847321883,0.554127393805857
3,6.55125,0.097566287250454,0.624624433276734
3,6.5625,0.146133555013995,0.667368129429447
3,6.57375,0.196057939080526,0.693975172966699
