"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
7.5,-0.222576044540826,-0.935261647147099
7.5001,-0.222809017016048,-0.935207690056445
7.5002,-0.223041967991245,-0.935153676475946
7.5003,-0.223274897454425,-0.935099606414852
7.5004,-0.223507805393599,-0.935045479882414
7.5005,-0.22374069179678,-0.934991296887884
7.5006,-0.223973556651984,-0.934937057440517
7.5007,-0.224206399947233,-0.934882761549566
7.5008,-0.22443922167055,-0.93482840922429
7.5009,-0.224672021809963,-0.934774000473947
7.501,-0.224904800353502,-0.934719535307797
7.5011,-0.225137557289199,-0.9346650137351
7.5012,-0.225370292605095,-0.934610435765121
7.5013,-0.225603006289232,-0.934555801407123
7.5014,-0.22583569832965,-0.934501110670372
7.5015,-0.226068368714399,-0.934446363564134
7.5016,-0.226301017431531,-0.93439156009768
7.5017,-0.226533644469099,-0.934336700280279
7.5018,-0.226766249815161,-0.934281784121203
7.5019,-0.226998833457779,-0.934226811629725
7.502,-0.227231395385019,-0.934171782815119
7.5021,-0.227463935584947,-0.934116697686662
7.5022,-0.227696454045635,-0.934061556253631
7.5023,-0.22792895075516,-0.934006358525306
7.5024,-0.228161425701599,-0.933951104510966
7.5025,-0.228393878873033,-0.933895794219894
7.5026,-0.228626310257548,-0.933840427661373
7.5027,-0.228858719843231,-0.933785004844689
7.5028,-0.229091107618178,-0.933729525779127
7.5029,-0.229323473570483,-0.933673990473974
7.503,-0.229555817688244,-0.933618398938522
7.5031,-0.229788139959563,-0.933562751182059
7.5032,-0.230020440372547,-0.93350704721388
7.5033,-0.230252718915304,-0.933451287043276
7.5034,-0.230484975575947,-0.933395470679543
7.5035,-0.230717210342592,-0.933339598131979
7.5036,-0.230949423203358,-0.93328366940988
7.5037,-0.231181614146367,-0.933227684522546
7.5038,-0.231413783159747,-0.93317164347928
7.5039,-0.231645930231626,-0.933115546289381
7.504,-0.231878055350138,-0.933059392962155
7.5041,-0.232110158503419,-0.933003183506907
7.5042,-0.232342239679608,-0.932946917932944
